name,size,sediaan,no_ie,prinsipal,indikasi,kandungan,batch,status,ref2,link2,ref,link
SALTRIM FORTE,"DUS, 1 BOTOL 60 ML",SUSPENSI,DKL9910902933A1,ITRASAL,ANTIBIOTIKA ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
SOLAC,"DUS' 1 BOTOL @ 120
ML",SIRUP,DBL0524221237A1,SOHO INDUSTRI PHARMASI,PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
STARLAX,"DUS, 1 BOTOL © 60 ML",SUSPENSI,DBL1809225137A1,"IFARS PHARMACEUTICAL
LABORATORIES",PENCAHAR ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
SUCRALFATE,"BOTOL PLM
STIK © 100 A
L",SUSPENSI,GKL1705055833A1,DEXA MEDICA,OBAT MAAG DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
SUCRALFATE,"DUS, 1 BOTOL PLASTIK
© 100 ML",SUSPENSI,GKL1705055833A1,DEXA MEDICA,OBAT MAAG DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
SUPRACHLOR,"DUS, 1 BOTOL © 60 ML",SUSPENSI,DKL7815602433A1,MEPROFARM,ANTIBIOTIKA ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
SUPRAMOX,"DUS, 1 BOTOL © 20 ML",DROPS,DKL8815607036A1,MEPROFARM,ANTIBIOTIKA ANAK,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
TRIMETA,"DUS, 1 BOTOL © 60 ML",SUSPENSI,DKL9516004837A1,"INTIJAYA META RATNA
PHARMINDO",ANTIBIOTIKA ANAK,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
ULSIDEX,"DUS, 1 BOTOL PLASTIK
 © 100 ML",SUSPENSI,DKL1705055933A1,DEXA MEDICA,❑BAT MAAG DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
"usumastuti Lukito, M.C.P",,,,,,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
VALVED,"DUS, 1 BOTOL @ 60 ML",SIRUP,DTL9710703937A1,GLOBAL MULTI PHARMALAB,"OBAT FLU KARENA ALERGI ANAK DAN
DEWASA",,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
VALVED DM,"DUS, 1 BOTOL @ 60 ML",SIRUP,DTL9710704637A1,GLOBAL MULTI PHARMALAB,"OBAT BATUK DAN FLU ANAK DAN
DEWASA",,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
VENTOLIN,"DUS, 1 BOTOL PLASTIK
© 100 ML",SIRUP,DKL9232000537A1,GLAX0 WELLCOME INDONESIA,OBAT ASMA ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
VENTOLIN EXPECTORANT,"DUS, 1 BOTOL PLASTIK
© 100 ML",SIRUP,DKL0832005437A1,GLAXO WELLCOME INDONESIA,"OBAT ASMA DAN BATUK ANAK DAN
DEWASA",,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
VERTIVOM,"DUS, 1 BOTOL @ 60 ML",SIRUP,DKL0710708637A1,GLOBAL MULTI PHARMALAB,"OBAT MUAL DAN MUNTAH ANAK ❑AN
DEWASA",,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
VOSEA,"DUS, BOTOL @ 30 ML",SIRUP,DKL0331108237A1,GRAHA FARMA,OBAT MUAL ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
WINASAL,"DUS, 1 BOTOL @ 60 ML",SIRUP,DTL9910903437A1,ITRASAL,OBAT BATUK ANAK DAN DEWASA,,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
YEKADRYL EXPECTORANT,"DUS, 1 BOTOL @ 100
ML",SIRUP,DTL8527503437A1,YEKATRIA FARMA,"OBAT BATUK DISERTAI ALERGI ANAK
DAN DEWASA",,,1,"Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai Lampiran 1. Daftar Sirup Obat yang Tidak Menggunakan Propilen Glikol, Polietilen Glikol, Sorbitol, dan/atau Gliserin/Gliserol Aman Digunakan Sepanjang Sesuai Aturan Pakai (Berdasarkan Data Registrasi BPOM)",https://drive.google.com/file/d/1uQr3BGx9LCIwMN82mw8SM_gJBx4lPqml/view?usp=sharing,PENJELASAN BPOM RI NOMOR HM.01.1.2.11.22.179 TANGGAL 17 NOVEMBER 2022 TENTANG INFORMASI KESEMBILAN PERKEMBANGAN HASIL PENGAWASAN DAN PENINDAKAN TERKAIT SIRUP OBAT YANG MENGANDUNG CEMARAN ETILEN GLIKOL/DIETILEN GLIKOL,https://www.pom.go.id/new/view/more/klarifikasi/165/PENJELASAN-BPOM-RI-NOMOR-HM-01-1-2-11-22-179-TANGGAL-17-NOVEMBER-2022--TENTANG-INFORMASI-KESEMBILAN-PERKEMBANGAN-HASIL-PENGAWASAN-DAN-PENINDAKAN-TERKAIT-SIRUP-OBAT-YANG-MENGANDUNG-CEMARAN-ETILEN-GLIKOL-DIETILEN-GLIKOL-.html
